UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1.0,M14860,M,298.1,308.6,1551.0,42.8,0.0,0,0.0,0.0,0.0,0.0,0.0
2.0,L47181,L,298.2,308.7,1408.0,46.3,3.0,0,0.0,0.0,0.0,0.0,0.0
3.0,L47182,L,298.1,308.5,1498.0,49.4,5.0,0,0.0,0.0,0.0,0.0,0.0
4.0,L47183,L,298.2,308.6,1433.0,39.5,7.0,0,0.0,0.0,0.0,0.0,0.0
5.0,L47184,L,298.2,308.7,1408.0,40.0,9.0,0,0.0,0.0,0.0,0.0,0.0
6.0,M14865,M,298.1,308.6,1425.0,41.9,11.0,0,0.0,0.0,0.0,0.0,0.0
7.0,L47186,L,298.1,308.6,1558.0,42.4,14.0,0,0.0,0.0,0.0,0.0,0.0
8.0,L47187,L,298.1,308.6,1527.0,40.2,16.0,0,0.0,0.0,0.0,0.0,0.0
9.0,M14868,M,298.3,308.7,1667.0,28.6,18.0,0,0.0,0.0,0.0,0.0,0.0
10.0,M14869,M,298.5,309.0,1741.0,28.0,21.0,0,0.0,0.0,0.0,0.0,0.0
11.0,H29424,H,298.4,308.9,1782.0,23.9,24.0,0,0.0,0.0,0.0,0.0,0.0
12.0,H29425,H,298.6,309.1,1423.0,44.3,29.0,0,0.0,0.0,0.0,0.0,0.0
13.0,M14872,M,298.6,309.1,1339.0,51.1,34.0,0,0.0,0.0,0.0,0.0,0.0
14.0,M14873,M,298.6,309.2,1742.0,30.0,37.0,0,0.0,0.0,0.0,0.0,0.0
15.0,L47194,L,298.6,309.2,2035.0,19.6,40.0,0,0.0,0.0,0.0,0.0,0.0
16.0,L47195,L,298.6,309.2,1542.0,48.4,42.0,0,0.0,0.0,0.0,0.0,0.0
17.0,M14876,M,298.6,309.2,1311.0,46.6,44.0,0,0.0,0.0,0.0,0.0,0.0
18.0,M14877,M,298.7,309.2,1410.0,45.6,47.0,0,0.0,0.0,0.0,0.0,0.0
19.0,H29432,H,298.8,309.2,1306.0,54.5,50.0,0,0.0,0.0,0.0,0.0,0.0
20.0,M14879,M,298.9,309.3,1632.0,32.5,55.0,0,0.0,0.0,0.0,0.0,0.0
21.0,H29434,H,298.9,309.3,1375.0,42.7,58.0,0,0.0,0.0,0.0,0.0,0.0
22.0,L47201,L,298.8,309.3,1450.0,44.8,63.0,0,0.0,0.0,0.0,0.0,0.0
23.0,M14882,M,298.9,309.3,1581.0,30.7,65.0,0,0.0,0.0,0.0,0.0,0.0
24.0,L47203,L,299.0,309.4,1758.0,25.7,68.0,0,0.0,0.0,0.0,0.0,0.0
25.0,M14884,M,299.0,309.4,1561.0,37.3,70.0,0,0.0,0.0,0.0,0.0,0.0
26.0,L47205,L,299.0,309.5,1861.0,23.3,73.0,0,0.0,0.0,0.0,0.0,0.0
27.0,L47206,L,299.1,309.5,1512.0,39.0,75.0,0,0.0,0.0,0.0,0.0,0.0
28.0,H29441,H,299.1,309.4,1811.0,24.6,77.0,0,0.0,0.0,0.0,0.0,0.0
29.0,L47208,L,299.1,309.4,1439.0,44.2,82.0,0,0.0,0.0,0.0,0.0,0.0
30.0,L47209,L,299.0,309.4,1693.0,30.1,84.0,0,0.0,0.0,0.0,0.0,0.0
31.0,M14890,M,299.1,309.5,1339.0,48.2,86.0,0,0.0,0.0,0.0,0.0,0.0
32.0,L47211,L,299.0,309.4,1798.0,25.5,89.0,0,0.0,0.0,0.0,0.0,0.0
33.0,L47212,L,299.0,309.4,1419.0,48.3,91.0,0,0.0,0.0,0.0,0.0,0.0
34.0,L47213,L,298.9,309.3,1665.0,32.5,93.0,0,0.0,0.0,0.0,0.0,0.0
35.0,M14894,M,298.8,309.1,1559.0,34.7,95.0,0,0.0,0.0,0.0,0.0,0.0
36.0,M14895,M,298.8,309.2,1452.0,48.6,98.0,0,0.0,0.0,0.0,0.0,0.0
37.0,M14896,M,298.9,309.2,1581.0,36.7,101.0,0,0.0,0.0,0.0,0.0,0.0
38.0,L47217,L,298.8,309.1,1439.0,39.2,104.0,0,0.0,0.0,0.0,0.0,0.0
39.0,H29452,H,298.9,309.2,1379.0,50.7,106.0,0,0.0,0.0,0.0,0.0,0.0
40.0,L47219,L,298.8,309.1,1350.0,52.5,111.0,0,0.0,0.0,0.0,0.0,0.0
41.0,L47220,L,298.8,309.1,1362.0,45.4,113.0,0,0.0,0.0,0.0,0.0,0.0
42.0,L47221,L,298.8,309.1,1368.0,50.8,115.0,0,0.0,0.0,0.0,0.0,0.0
43.0,M14902,M,298.8,309.1,1368.0,49.1,117.0,0,0.0,0.0,0.0,0.0,0.0
44.0,H29457,H,298.8,309.2,1372.0,48.5,120.0,0,0.0,0.0,0.0,0.0,0.0
45.0,M14904,M,298.8,309.1,1472.0,47.5,125.0,0,0.0,0.0,0.0,0.0,0.0
46.0,L47225,L,298.8,309.1,1489.0,49.1,128.0,0,0.0,0.0,0.0,0.0,0.0
47.0,M14906,M,298.7,309.0,1843.0,25.8,130.0,0,0.0,0.0,0.0,0.0,0.0
48.0,L47227,L,298.8,309.1,1418.0,46.3,133.0,0,0.0,0.0,0.0,0.0,0.0
49.0,H29462,H,298.8,309.2,1425.0,53.9,135.0,0,0.0,0.0,0.0,0.0,0.0
50.0,M14909,M,298.9,309.2,1412.0,44.1,140.0,0,0.0,0.0,0.0,0.0,0.0
51.0,L47230,L,298.9,309.1,2861.0,4.6,143.0,1,0.0,0.0,1.0,0.0,0.0
52.0,L47231,L,298.9,309.1,1383.0,54.9,145.0,0,0.0,0.0,0.0,0.0,0.0
53.0,H29466,H,298.8,309.0,1497.0,43.8,147.0,0,0.0,0.0,0.0,0.0,0.0
54.0,L47233,L,298.7,309.0,1565.0,35.1,152.0,0,0.0,0.0,0.0,0.0,0.0
55.0,L47234,L,298.7,309.0,1691.0,30.1,154.0,0,0.0,0.0,0.0,0.0,0.0
56.0,L47235,L,298.8,309.1,1512.0,40.7,156.0,0,0.0,0.0,0.0,0.0,0.0
57.0,L47236,L,298.8,309.1,1477.0,42.4,158.0,0,0.0,0.0,0.0,0.0,0.0
58.0,L47237,L,298.8,309.1,1513.0,40.3,160.0,0,0.0,0.0,0.0,0.0,0.0
59.0,M14918,M,298.8,309.0,1661.0,29.5,162.0,0,0.0,0.0,0.0,0.0,0.0
60.0,L47239,L,298.8,309.1,1378.0,54.4,165.0,0,0.0,0.0,0.0,0.0,0.0
61.0,L47240,L,298.8,309.1,1393.0,52.6,167.0,0,0.0,0.0,0.0,0.0,0.0
62.0,M14921,M,298.8,309.0,1592.0,38.2,169.0,0,0.0,0.0,0.0,0.0,0.0
63.0,L47242,L,298.8,309.0,1829.0,22.9,172.0,0,0.0,0.0,0.0,0.0,0.0
64.0,M14923,M,298.9,309.0,1812.0,25.9,174.0,0,0.0,0.0,0.0,0.0,0.0
65.0,L47244,L,299.0,309.1,1523.0,38.6,177.0,0,0.0,0.0,0.0,0.0,0.0
66.0,L47245,L,299.0,309.1,1394.0,45.1,179.0,0,0.0,0.0,0.0,0.0,0.0
67.0,M14926,M,298.9,308.9,1679.0,28.7,181.0,0,0.0,0.0,0.0,0.0,0.0
68.0,H29481,H,298.8,308.9,1466.0,44.1,184.0,0,0.0,0.0,0.0,0.0,0.0
69.0,L47248,L,298.8,308.9,1527.0,32.4,189.0,0,0.0,0.0,0.0,0.0,0.0
70.0,L47249,L,298.9,309.0,1410.0,65.7,191.0,1,0.0,0.0,1.0,1.0,0.0
71.0,M14930,M,298.9,309.0,1924.0,22.6,193.0,0,0.0,0.0,0.0,0.0,0.0
72.0,L47251,L,298.9,309.1,1452.0,45.5,196.0,0,0.0,0.0,0.0,0.0,0.0
73.0,L47252,L,298.9,309.1,1369.0,44.4,198.0,0,0.0,0.0,0.0,0.0,0.0
74.0,L47253,L,299.0,309.1,1592.0,35.0,200.0,0,0.0,0.0,0.0,0.0,0.0
75.0,L47254,L,298.9,309.0,1601.0,32.3,202.0,0,0.0,0.0,0.0,0.0,0.0
76.0,L47255,L,298.8,308.9,1379.0,46.7,204.0,0,0.0,0.0,0.0,0.0,0.0
77.0,L47256,L,298.8,308.9,1461.0,47.9,206.0,0,0.0,0.0,0.0,0.0,0.0
78.0,L47257,L,298.8,308.9,1455.0,41.3,208.0,1,1.0,0.0,0.0,0.0,0.0
79.0,L47258,L,298.8,308.9,1398.0,51.5,0.0,0,0.0,0.0,0.0,0.0,0.0
80.0,L47259,L,298.8,308.9,1402.0,37.9,2.0,0,0.0,0.0,0.0,0.0,0.0
81.0,H29494,H,298.8,308.8,1445.0,49.9,4.0,0,0.0,0.0,0.0,0.0,0.0
82.0,L47261,L,298.9,308.9,1450.0,47.5,9.0,0,0.0,0.0,0.0,0.0,0.0
83.0,L47262,L,298.9,308.9,1453.0,40.8,11.0,0,0.0,0.0,0.0,0.0,0.0
84.0,L47263,L,299.0,309.0,1469.0,40.1,13.0,0,0.0,0.0,0.0,0.0,0.0
85.0,L47264,L,298.9,308.9,1422.0,47.6,15.0,0,0.0,0.0,0.0,0.0,0.0
86.0,M14945,M,299.0,309.0,1804.0,26.8,17.0,0,0.0,0.0,0.0,0.0,0.0
87.0,H29500,H,299.0,309.0,1436.0,43.9,20.0,0,0.0,0.0,0.0,0.0,0.0
88.0,L47267,L,299.0,309.0,1544.0,31.8,25.0,0,0.0,0.0,0.0,0.0,0.0
89.0,M14948,M,299.0,309.0,1419.0,45.2,27.0,0,0.0,0.0,0.0,0.0,0.0
90.0,M14949,M,298.9,308.9,1487.0,39.5,30.0,0,0.0,0.0,0.0,0.0,0.0
91.0,L47270,L,298.9,308.9,1753.0,25.8,33.0,0,0.0,0.0,0.0,0.0,0.0
92.0,L47271,L,298.9,308.9,1830.0,24.9,35.0,0,0.0,0.0,0.0,0.0,0.0
93.0,M14952,M,298.9,308.9,1727.0,27.1,37.0,0,0.0,0.0,0.0,0.0,0.0
94.0,L47273,L,299.1,309.0,1450.0,43.0,40.0,0,0.0,0.0,0.0,0.0,0.0
95.0,L47274,L,299.0,308.9,1622.0,31.9,42.0,0,0.0,0.0,0.0,0.0,0.0
96.0,M14955,M,299.0,309.0,1351.0,52.2,44.0,0,0.0,0.0,0.0,0.0,0.0
97.0,M14956,M,299.0,309.0,1575.0,35.3,47.0,0,0.0,0.0,0.0,0.0,0.0
98.0,M14957,M,298.9,308.9,1750.0,29.9,50.0,0,0.0,0.0,0.0,0.0,0.0
99.0,L47278,L,298.9,308.8,1529.0,32.7,53.0,0,0.0,0.0,0.0,0.0,0.0
100.0,L47279,L,298.8,308.8,1523.0,44.4,55.0,0,0.0,0.0,0.0,0.0,0.0
101.0,L47280,L,298.8,308.9,1852.0,25.0,57.0,0,0.0,0.0,0.0,0.0,0.0
102.0,L47281,L,298.8,308.8,1991.0,20.7,59.0,0,0.0,0.0,0.0,0.0,0.0
103.0,L47282,L,298.8,308.8,1555.0,40.6,61.0,0,0.0,0.0,0.0,0.0,0.0
104.0,M14963,M,298.8,308.8,1441.0,40.5,63.0,0,0.0,0.0,0.0,0.0,0.0
105.0,L47284,L,298.8,308.7,1450.0,43.4,66.0,0,0.0,0.0,0.0,0.0,0.0
106.0,L47285,L,298.8,308.7,1591.0,31.1,68.0,0,0.0,0.0,0.0,0.0,0.0
107.0,L47286,L,298.8,308.7,1445.0,48.5,70.0,0,0.0,0.0,0.0,0.0,0.0
108.0,M14967,M,298.8,308.8,1497.0,46.8,72.0,0,0.0,0.0,0.0,0.0,0.0
109.0,H29522,H,298.9,308.8,1621.0,32.7,75.0,0,0.0,0.0,0.0,0.0,0.0
110.0,L47289,L,298.9,308.7,1572.0,34.1,80.0,0,0.0,0.0,0.0,0.0,0.0
111.0,L47290,L,298.8,308.6,1872.0,22.5,82.0,0,0.0,0.0,0.0,0.0,0.0
112.0,H29525,H,298.7,308.6,1499.0,43.5,84.0,0,0.0,0.0,0.0,0.0,0.0
113.0,M14972,M,298.8,308.7,1498.0,39.5,89.0,0,0.0,0.0,0.0,0.0,0.0
114.0,M14973,M,298.8,308.6,1486.0,41.9,92.0,0,0.0,0.0,0.0,0.0,0.0
115.0,L47294,L,298.8,308.6,1680.0,29.4,95.0,0,0.0,0.0,0.0,0.0,0.0
116.0,L47295,L,298.8,308.6,1431.0,45.7,97.0,0,0.0,0.0,0.0,0.0,0.0
117.0,L47296,L,298.9,308.7,1564.0,34.1,99.0,0,0.0,0.0,0.0,0.0,0.0
118.0,L47297,L,298.8,308.6,1599.0,33.0,101.0,0,0.0,0.0,0.0,0.0,0.0
119.0,M14978,M,298.8,308.6,1707.0,28.1,103.0,0,0.0,0.0,0.0,0.0,0.0
120.0,L47299,L,298.7,308.5,1467.0,40.7,106.0,0,0.0,0.0,0.0,0.0,0.0
121.0,L47300,L,298.9,308.7,1433.0,44.7,108.0,0,0.0,0.0,0.0,0.0,0.0
122.0,L47301,L,298.9,308.7,1558.0,41.2,110.0,0,0.0,0.0,0.0,0.0,0.0
123.0,L47302,L,299.0,308.8,1310.0,50.7,112.0,0,0.0,0.0,0.0,0.0,0.0
124.0,L47303,L,298.9,308.7,1546.0,43.4,114.0,0,0.0,0.0,0.0,0.0,0.0
125.0,L47304,L,298.9,308.7,1727.0,29.4,116.0,0,0.0,0.0,0.0,0.0,0.0
126.0,L47305,L,298.9,308.6,1560.0,32.2,118.0,0,0.0,0.0,0.0,0.0,0.0
127.0,L47306,L,299.0,308.6,1329.0,60.5,120.0,0,0.0,0.0,0.0,0.0,0.0
128.0,L47307,L,298.9,308.6,1413.0,46.5,122.0,0,0.0,0.0,0.0,0.0,0.0
129.0,L47308,L,299.0,308.6,1587.0,38.6,124.0,0,0.0,0.0,0.0,0.0,0.0
130.0,L47309,L,298.9,308.5,1559.0,34.3,126.0,0,0.0,0.0,0.0,0.0,0.0
131.0,L47310,L,298.8,308.4,1473.0,41.1,128.0,0,0.0,0.0,0.0,0.0,0.0
132.0,L47311,L,298.8,308.4,1737.0,27.7,130.0,0,0.0,0.0,0.0,0.0,0.0
133.0,M14992,M,298.7,308.4,1441.0,43.2,132.0,0,0.0,0.0,0.0,0.0,0.0
134.0,M14993,M,298.7,308.4,1430.0,49.6,135.0,0,0.0,0.0,0.0,0.0,0.0
135.0,L47314,L,298.8,308.4,1369.0,53.0,138.0,0,0.0,0.0,0.0,0.0,0.0
136.0,M14995,M,298.8,308.5,1711.0,28.5,140.0,0,0.0,0.0,0.0,0.0,0.0
137.0,H29550,H,298.7,308.5,1420.0,45.7,143.0,0,0.0,0.0,0.0,0.0,0.0
138.0,L47317,L,298.7,308.6,1297.0,55.3,148.0,0,0.0,0.0,0.0,0.0,0.0
139.0,H29552,H,298.8,308.6,1449.0,49.4,150.0,0,0.0,0.0,0.0,0.0,0.0
140.0,L47319,L,298.8,308.6,1268.0,55.8,155.0,0,0.0,0.0,0.0,0.0,0.0
141.0,L47320,L,298.8,308.6,1511.0,36.1,157.0,0,0.0,0.0,0.0,0.0,0.0
142.0,L47321,L,298.7,308.5,1544.0,35.2,159.0,0,0.0,0.0,0.0,0.0,0.0
143.0,M15002,M,298.6,308.4,1778.0,28.2,161.0,0,0.0,0.0,0.0,0.0,0.0
144.0,H29557,H,298.6,308.4,1407.0,50.5,164.0,0,0.0,0.0,0.0,0.0,0.0
145.0,M15004,M,298.6,308.4,1391.0,42.4,169.0,0,0.0,0.0,0.0,0.0,0.0
146.0,L47325,L,298.5,308.4,1513.0,33.6,172.0,0,0.0,0.0,0.0,0.0,0.0
147.0,H29560,H,298.5,308.4,1612.0,36.1,174.0,0,0.0,0.0,0.0,0.0,0.0
148.0,L47327,L,298.4,308.4,1515.0,40.1,179.0,0,0.0,0.0,0.0,0.0,0.0
149.0,M15008,M,298.3,308.3,1379.0,48.0,181.0,0,0.0,0.0,0.0,0.0,0.0
150.0,L47329,L,298.4,308.3,1473.0,39.9,184.0,0,0.0,0.0,0.0,0.0,0.0
151.0,L47330,L,298.4,308.3,1422.0,42.7,186.0,0,0.0,0.0,0.0,0.0,0.0
152.0,M15011,M,298.4,308.2,1463.0,37.6,188.0,0,0.0,0.0,0.0,0.0,0.0
153.0,M15012,M,298.4,308.2,1584.0,41.0,191.0,0,0.0,0.0,0.0,0.0,0.0
154.0,L47333,L,298.4,308.2,1850.0,27.0,194.0,0,0.0,0.0,0.0,0.0,0.0
155.0,L47334,L,298.4,308.2,1528.0,36.2,196.0,0,0.0,0.0,0.0,0.0,0.0
156.0,H29569,H,298.4,308.2,1987.0,19.8,198.0,0,0.0,0.0,0.0,0.0,0.0
157.0,M15016,M,298.4,308.1,1495.0,46.0,203.0,0,0.0,0.0,0.0,0.0,0.0
158.0,H29571,H,298.4,308.2,1478.0,43.5,206.0,0,0.0,0.0,0.0,0.0,0.0
159.0,M15018,M,298.4,308.2,1499.0,40.0,211.0,0,0.0,0.0,0.0,0.0,0.0
160.0,L47339,L,298.4,308.2,1471.0,47.0,214.0,0,0.0,0.0,0.0,0.0,0.0
161.0,L47340,L,298.4,308.2,1282.0,60.7,216.0,1,0.0,0.0,0.0,1.0,0.0
162.0,L47341,L,298.3,308.1,1412.0,52.3,218.0,1,0.0,0.0,0.0,1.0,0.0
163.0,L47342,L,298.3,308.1,1586.0,35.5,0.0,0,0.0,0.0,0.0,0.0,0.0
164.0,M15023,M,298.4,308.2,1468.0,43.8,2.0,0,0.0,0.0,0.0,0.0,0.0
165.0,M15024,M,298.5,308.3,1440.0,43.6,5.0,0,0.0,0.0,0.0,0.0,0.0
166.0,L47345,L,298.5,308.4,1733.0,26.0,8.0,0,0.0,0.0,0.0,0.0,0.0
167.0,H29580,H,298.4,308.2,1612.0,32.6,10.0,0,0.0,0.0,0.0,0.0,0.0
168.0,H29581,H,298.4,308.3,1458.0,42.9,15.0,0,0.0,0.0,0.0,0.0,0.0
169.0,L47348,L,298.4,308.3,1433.0,62.3,20.0,1,0.0,0.0,1.0,0.0,0.0
170.0,L47349,L,298.4,308.3,1318.0,59.1,22.0,0,0.0,0.0,0.0,0.0,0.0
171.0,M15030,M,298.4,308.2,1610.0,35.0,24.0,0,0.0,0.0,0.0,0.0,0.0
172.0,L47351,L,298.2,308.1,1462.0,50.8,27.0,0,0.0,0.0,0.0,0.0,0.0
173.0,M15032,M,298.1,308.0,1924.0,20.8,29.0,0,0.0,0.0,0.0,0.0,0.0
174.0,M15033,M,298.2,308.0,1591.0,33.7,32.0,0,0.0,0.0,0.0,0.0,0.0
175.0,L47354,L,298.2,308.1,1306.0,58.3,35.0,0,0.0,0.0,0.0,0.0,0.0
176.0,L47355,L,298.2,308.1,1382.0,43.5,37.0,0,0.0,0.0,0.0,0.0,0.0
177.0,L47356,L,298.2,308.1,1618.0,34.7,39.0,0,0.0,0.0,0.0,0.0,0.0
178.0,L47357,L,298.2,308.2,1988.0,21.4,41.0,0,0.0,0.0,0.0,0.0,0.0
179.0,L47358,L,298.2,308.2,1436.0,50.2,43.0,0,0.0,0.0,0.0,0.0,0.0
180.0,L47359,L,298.2,308.3,1304.0,49.8,45.0,0,0.0,0.0,0.0,0.0,0.0
181.0,L47360,L,298.2,308.3,1475.0,49.9,47.0,0,0.0,0.0,0.0,0.0,0.0
182.0,H29595,H,298.2,308.3,1824.0,24.2,49.0,0,0.0,0.0,0.0,0.0,0.0
183.0,M15042,M,298.1,308.2,1342.0,48.1,54.0,0,0.0,0.0,0.0,0.0,0.0
184.0,L47363,L,298.1,308.2,1485.0,40.7,57.0,0,0.0,0.0,0.0,0.0,0.0
185.0,L47364,L,298.2,308.2,1667.0,30.6,59.0,0,0.0,0.0,0.0,0.0,0.0
186.0,L47365,L,298.2,308.2,1446.0,38.2,61.0,0,0.0,0.0,0.0,0.0,0.0
187.0,L47366,L,298.1,308.3,1301.0,56.0,63.0,0,0.0,0.0,0.0,0.0,0.0
188.0,L47367,L,298.2,308.4,1379.0,43.1,65.0,0,0.0,0.0,0.0,0.0,0.0
189.0,L47368,L,298.3,308.5,1606.0,33.6,67.0,0,0.0,0.0,0.0,0.0,0.0
190.0,M15049,M,298.3,308.4,1539.0,43.4,69.0,0,0.0,0.0,0.0,0.0,0.0
191.0,L47370,L,298.2,308.4,1477.0,49.9,72.0,0,0.0,0.0,0.0,0.0,0.0
192.0,L47371,L,298.2,308.4,1666.0,34.6,74.0,0,0.0,0.0,0.0,0.0,0.0
193.0,H29606,H,298.2,308.4,1398.0,51.8,76.0,0,0.0,0.0,0.0,0.0,0.0
194.0,H29607,H,298.2,308.4,1678.0,34.6,81.0,0,0.0,0.0,0.0,0.0,0.0
195.0,M15054,M,298.2,308.5,2678.0,10.7,86.0,1,0.0,0.0,1.0,0.0,0.0
196.0,L47375,L,298.3,308.5,1453.0,42.9,89.0,0,0.0,0.0,0.0,0.0,0.0
197.0,H29610,H,298.3,308.6,1432.0,49.5,91.0,0,0.0,0.0,0.0,0.0,0.0
198.0,M15057,M,298.4,308.6,1527.0,40.9,96.0,0,0.0,0.0,0.0,0.0,0.0
199.0,L47378,L,298.4,308.7,1588.0,35.0,99.0,0,0.0,0.0,0.0,0.0,0.0
200.0,L47379,L,298.4,308.6,1433.0,47.1,101.0,0,0.0,0.0,0.0,0.0,0.0
201.0,L47380,L,298.4,308.6,1609.0,35.0,103.0,0,0.0,0.0,0.0,0.0,0.0
202.0,L47381,L,298.3,308.5,1575.0,41.2,105.0,0,0.0,0.0,0.0,0.0,0.0
203.0,M15062,M,298.4,308.5,1636.0,35.7,107.0,0,0.0,0.0,0.0,0.0,0.0
204.0,L47383,L,298.4,308.5,1490.0,37.9,110.0,0,0.0,0.0,0.0,0.0,0.0
205.0,L47384,L,298.4,308.5,1741.0,32.8,112.0,0,0.0,0.0,0.0,0.0,0.0
206.0,M15065,M,298.5,308.6,1344.0,53.0,114.0,0,0.0,0.0,0.0,0.0,0.0
207.0,L47386,L,298.5,308.7,1609.0,35.3,117.0,0,0.0,0.0,0.0,0.0,0.0
208.0,M15067,M,298.4,308.7,1421.0,60.7,119.0,1,0.0,0.0,1.0,0.0,0.0
209.0,L47388,L,298.4,308.6,1591.0,36.7,122.0,0,0.0,0.0,0.0,0.0,0.0
210.0,L47389,L,298.4,308.6,1477.0,44.0,124.0,0,0.0,0.0,0.0,0.0,0.0
211.0,L47390,L,298.4,308.7,1523.0,36.1,126.0,0,0.0,0.0,0.0,0.0,0.0
212.0,L47391,L,298.5,308.7,1575.0,33.9,128.0,0,0.0,0.0,0.0,0.0,0.0
213.0,H29626,H,298.4,308.7,1344.0,52.9,130.0,0,0.0,0.0,0.0,0.0,0.0
214.0,L47393,L,298.4,308.7,1386.0,44.9,135.0,0,0.0,0.0,0.0,0.0,0.0
215.0,M15074,M,298.3,308.6,1589.0,37.1,137.0,0,0.0,0.0,0.0,0.0,0.0
216.0,L47395,L,298.3,308.6,1548.0,40.3,140.0,0,0.0,0.0,0.0,0.0,0.0
217.0,L47396,L,298.3,308.6,1499.0,38.3,142.0,0,0.0,0.0,0.0,0.0,0.0
218.0,L47397,L,298.3,308.5,1664.0,31.6,144.0,0,0.0,0.0,0.0,0.0,0.0
219.0,L47398,L,298.3,308.6,1447.0,38.1,146.0,0,0.0,0.0,0.0,0.0,0.0
220.0,M15079,M,298.3,308.5,1434.0,46.2,148.0,0,0.0,0.0,0.0,0.0,0.0
221.0,L47400,L,298.3,308.5,1416.0,52.7,151.0,0,0.0,0.0,0.0,0.0,0.0
222.0,H29635,H,298.4,308.5,1827.0,24.3,153.0,0,0.0,0.0,0.0,0.0,0.0
223.0,L47402,L,298.4,308.6,1304.0,45.0,158.0,0,0.0,0.0,0.0,0.0,0.0
224.0,L47403,L,298.4,308.6,1569.0,34.4,160.0,0,0.0,0.0,0.0,0.0,0.0
225.0,L47404,L,298.3,308.6,1584.0,29.3,162.0,0,0.0,0.0,0.0,0.0,0.0
226.0,L47405,L,298.3,308.5,1362.0,53.8,164.0,0,0.0,0.0,0.0,0.0,0.0
227.0,L47406,L,298.3,308.4,1329.0,49.2,166.0,0,0.0,0.0,0.0,0.0,0.0
228.0,L47407,L,298.3,308.5,1539.0,36.1,168.0,0,0.0,0.0,0.0,0.0,0.0
229.0,M15088,M,298.3,308.5,1629.0,37.1,170.0,0,0.0,0.0,0.0,0.0,0.0
230.0,L47409,L,298.3,308.5,1538.0,32.2,173.0,0,0.0,0.0,0.0,0.0,0.0
231.0,L47410,L,298.3,308.6,1570.0,34.8,175.0,0,0.0,0.0,0.0,0.0,0.0
232.0,L47411,L,298.3,308.4,1408.0,43.1,177.0,0,0.0,0.0,0.0,0.0,0.0
